"","ID","group","b_demo_age_1","b_demo_gender_1","b_demo_education_1","b_demo_work_1","b_work_field_1","b_demo_family_1","b_demo_household_1","b_demo_kids_1","b_corona_risk_1","b_corona_risk_2","federal_state","b_baseline_ended","loneliness","var_zero","duration_in_h","duration_in_sec","include_1","include_2","daily_date","weekday","day_dummy","week_dummy","weekend_dummy","b_demo_work_1_rec","b_demo_family_1_rec","b_work_field_1_rec_3"
"1",1819,2,43,2,20,1,NA,3,2,1,2,"","Baden-Württemberg","2020-03-16 15:42:33",1.5,FALSE,0.106388888888889,383,TRUE,TRUE,"2020-03-17","Tu",0,0,0,"Voll erwerbstätig","In einer festen Partnerschaft",NA
"2",1819,2,43,2,20,1,NA,3,2,1,2,"","Baden-Württemberg","2020-03-16 15:42:33",NA,NA,4.05361111111111,14593,TRUE,TRUE,"2020-03-20","Fr",3,0,0,"Voll erwerbstätig","In einer festen Partnerschaft",NA
"3",4393,2,48,2,20,1,27,7,1,2,2,"","Nordrhein-Westfalen","2020-03-16 15:59:03",2,NA,6.00222222222222,21608,TRUE,TRUE,"2020-03-17","Tu",0,0,0,"Voll erwerbstätig","Verwitwet","Relevant"
"4",4393,2,48,2,20,1,27,7,1,2,2,"","Nordrhein-Westfalen","2020-03-16 15:59:03",2.25,FALSE,0.1625,585,TRUE,TRUE,"2020-03-18","We",1,0,0,"Voll erwerbstätig","Verwitwet","Relevant"
"5",4393,2,48,2,20,1,27,7,1,2,2,"","Nordrhein-Westfalen","2020-03-16 15:59:03",2,FALSE,0.136111111111111,490,TRUE,TRUE,"2020-03-19","Th",2,0,0,"Voll erwerbstätig","Verwitwet","Relevant"
"6",4393,2,48,2,20,1,27,7,1,2,2,"","Nordrhein-Westfalen","2020-03-16 15:59:03",1,FALSE,0.106388888888889,383,TRUE,TRUE,"2020-03-20","Fr",3,0,0,"Voll erwerbstätig","Verwitwet","Relevant"
"7",4393,2,48,2,20,1,27,7,1,2,2,"","Nordrhein-Westfalen","2020-03-16 15:59:03",1.75,FALSE,0.155,558,TRUE,TRUE,"2020-03-25","We",8,1,0,"Voll erwerbstätig","Verwitwet","Relevant"
"8",4393,2,48,2,20,1,27,7,1,2,2,"","Nordrhein-Westfalen","2020-03-16 15:59:03",2.25,FALSE,0.425,1530,TRUE,TRUE,"2020-03-26","Th",9,1,0,"Voll erwerbstätig","Verwitwet","Relevant"
"9",4393,2,48,2,20,1,27,7,1,2,2,"","Nordrhein-Westfalen","2020-03-16 15:59:03",2,FALSE,0.279166666666667,1005,TRUE,TRUE,"2020-03-27","Fr",10,1,0,"Voll erwerbstätig","Verwitwet","Relevant"
"10",4393,2,48,2,20,1,27,7,1,2,2,"","Nordrhein-Westfalen","2020-03-16 15:59:03",2.75,FALSE,0.339166666666667,1221,TRUE,TRUE,"2020-03-28","Sa",11,1,1,"Voll erwerbstätig","Verwitwet","Relevant"
"11",4393,2,48,2,20,1,27,7,1,2,2,"","Nordrhein-Westfalen","2020-03-16 15:59:03",1.25,FALSE,0.1175,423,TRUE,TRUE,"2020-04-02","Th",16,2,0,"Voll erwerbstätig","Verwitwet","Relevant"
"12",4393,2,48,2,20,1,27,7,1,2,2,"","Nordrhein-Westfalen","2020-03-16 15:59:03",1.25,FALSE,0.219166666666667,789,TRUE,TRUE,"2020-04-03","Fr",17,2,0,"Voll erwerbstätig","Verwitwet","Relevant"
"13",4393,2,48,2,20,1,27,7,1,2,2,"","Nordrhein-Westfalen","2020-03-16 15:59:03",1,FALSE,0.124166666666667,447,TRUE,TRUE,"2020-04-04","Sa",18,2,1,"Voll erwerbstätig","Verwitwet","Relevant"
"14",4393,2,48,2,20,1,27,7,1,2,2,"","Nordrhein-Westfalen","2020-03-16 15:59:03",1.75,FALSE,0.218333333333333,786,TRUE,TRUE,"2020-04-05","Su",19,2,1,"Voll erwerbstätig","Verwitwet","Relevant"
"15",4393,2,48,2,20,1,27,7,1,2,2,"","Nordrhein-Westfalen","2020-03-16 15:59:03",1,FALSE,0.106111111111111,382,TRUE,TRUE,"2020-04-10","Fr",24,3,0,"Voll erwerbstätig","Verwitwet","Relevant"
"16",4393,2,48,2,20,1,27,7,1,2,2,"","Nordrhein-Westfalen","2020-03-16 15:59:03",1,FALSE,0.104722222222222,377,TRUE,TRUE,"2020-04-11","Sa",25,3,1,"Voll erwerbstätig","Verwitwet","Relevant"
"17",4393,2,48,2,20,1,27,7,1,2,2,"","Nordrhein-Westfalen","2020-03-16 15:59:03",3.25,FALSE,0.225,810,TRUE,TRUE,"2020-04-12","Su",26,3,1,"Voll erwerbstätig","Verwitwet","Relevant"
"18",3640,2,30,1,20,1,7,4,2,3,2,"","Berlin","2020-03-16 16:02:56",1,FALSE,0.113888888888889,410,TRUE,TRUE,"2020-03-17","Tu",0,0,0,"Voll erwerbstätig","In einer festen Partnerschaft","Relevant"
